산업명,직접배출계수(B),공급망유발계수(B*L),간접유발량(BL-B),Scope2,Scope3
"전력, 가스 및 증기",2.1301566883392304,2.674073359443426,0.5439166711041956,0.5027531956342215,0.04116347546997412
비금속광물제품,0.9331886518424367,1.449835754510145,0.5166471026677083,0.19334388386004392,0.3233032188076644
1차 금속제품,0.7338854703950831,1.2583722158142523,0.5244867454191692,0.26404043633832985,0.2604463090808393
"수도, 폐기물처리 및 재활용서비스",0.4632338408374608,0.6758548440824983,0.21262100324503752,0.07550004236540822,0.1371209608796293
운송서비스,0.49774721091695845,0.6568228993754265,0.15907568845846803,0.06294927616785463,0.0961264122906134
광산품,0.28212144791810406,0.6420413660016013,0.35991991808349727,0.17212189836144634,0.18779801972205093
석탄 및 석유제품,0.4022360235041811,0.6311019083380168,0.22886588483383574,0.15048455223396312,0.07838133259987262
화학제품,0.29214189471999996,0.6148400587431616,0.32269816402316165,0.14436077171776027,0.17833739230540138
농림수산품,0.39999023265478645,0.602495835273885,0.2025056026190985,0.08318142812757645,0.11932417449152205
금속가공제품,0.0037271642528927,0.41893590530858266,0.41520874105568994,0.12220652337963392,0.29300221767605605
"목재 및 종이, 인쇄",0.059154486673937634,0.36589032352164086,0.3067358368477032,0.16352835504360258,0.14320748180410064
기타 제조업 제품,0.12695633204786513,0.358382304582997,0.2314259725351319,0.06994961923544905,0.16147635329968285
음식료품,0.013978943799183317,0.2974351789074499,0.2834562351082666,0.08929590626936727,0.19416032883889933
운송장비,0.007996692685641715,0.28773264083838634,0.2797359481527446,0.09828605303454778,0.1814498951181968
건설,0.006548955888214701,0.2823897283448756,0.2758407724566609,0.06202091693333945,0.21381985552332144
기계 및 장비,0.03490312013123847,0.25999073173313236,0.2250876116018939,0.07315047795849293,0.15193713364340095
섬유 및 가죽제품,0.06297160571519893,0.2591571544832609,0.19618554876806193,0.08394562797204297,0.11223992079601897
전기장비,0.0008704582526230868,0.2449761977326604,0.24410573948003733,0.07637897844824,0.16772676103179734
음식점 및 숙박서비스,0.012142275480125921,0.2073419511434864,0.1951996756633605,0.060723465258561114,0.13447621040479937
제조임가공 및 산업용 장비 수리,0.02150794607035135,0.17383166246458584,0.15232371639423448,0.05652718809580622,0.09579652829842825
"컴퓨터, 전자 및 광학기기",0.019814484775039484,0.16168398695633027,0.1418695021812908,0.08489356709896644,0.05697593508232436
기타 서비스,0.006354647775167456,0.15562161738599248,0.14926696961082503,0.05839918416981604,0.09086778544100899
도소매 및 상품중개서비스,0.004150675370055546,0.12522680061919947,0.12107612524914392,0.041779734367703804,0.07929639088144011
보건 및 사회복지 서비스,0.008688065887857884,0.12446445001573081,0.11577638412787293,0.0442693046369606,0.07150707949091234
"전문, 과학 및 기술 서비스",0.006013743282536339,0.12128228569499419,0.11526854241245785,0.06086164063163685,0.054406901780821
"예술, 스포츠 및 여가 관련 서비스",0.006660848165006476,0.12088667335123258,0.11422582518622611,0.05557561443501537,0.058650210751210734
교육서비스,0.01568778074182315,0.11981556639423453,0.10412778565241138,0.06289808320000134,0.04122970245241003
"공공행정, 국방 및 사회보장",0.032107768196089716,0.10109872945720831,0.06899096126111859,0.025021174468942347,0.04396978679217624
사업지원서비스,0.0012291129329227788,0.08314577983510818,0.0819166669021854,0.026897942335391105,0.05501872456679429
정보통신 및 방송 서비스,0.0005070538408826154,0.0608341399977622,0.06032708615687959,0.02837592397261159,0.031951162184267995
부동산서비스,0.0009282952043249623,0.05575309006183712,0.054824794857512155,0.024791067572741892,0.030033727284770263
금융 및 보험 서비스,0.0005856571120324409,0.03583872347102372,0.03525306635899128,0.01862976582721332,0.01662330053177796
