산업명,직접배출계수(B),공급망유발계수(B*L),간접유발량(BL-B),Scope2,Scope3
"전력, 가스 및 증기",1.5155498960107996,1.866299936333952,0.3507500403231525,0.32128479193913817,0.02946524838401432
비금속광물제품,0.691698970662559,1.0952994399540665,0.4036004692915075,0.1436986853224994,0.2599017839690081
1차 금속제품,0.534331133330101,0.8966664525995643,0.3623353192694634,0.17483120239888358,0.1875041168705798
"수도, 폐기물처리 및 재활용서비스",0.434747034739092,0.6303607954081992,0.19561376066910724,0.07053707121602748,0.12507668945307976
운송서비스,0.45444008491166793,0.5828484287804994,0.12840834386883143,0.04999755996662434,0.0784107839022071
농림수산품,0.3538418154252138,0.5365955049038298,0.18275368947861598,0.07697752636488275,0.10577616311373322
광산품,0.2087071413465866,0.48291745087231946,0.2742103095257329,0.13694061546474867,0.13726969406098422
화학제품,0.22485821738517417,0.45280564462064876,0.2279474272354746,0.10159459162309366,0.12635283561238092
기타 제조업 제품,0.12421198041207222,0.3311254389529114,0.2069134585408392,0.060039746843737016,0.14687371169710217
석탄 및 석유제품,0.2076768556322383,0.29585090588247814,0.08817405025023983,0.05799311478313683,0.030180935467103
"목재 및 종이, 인쇄",0.050767936108755476,0.2933015821098739,0.24253364600111843,0.13370748209841452,0.10882616390270392
금속가공제품,0.0027019706383372586,0.29089566380916115,0.2881936931708239,0.08307208261106538,0.2051216105597585
음식료품,0.011321859824569153,0.24996800715344641,0.23864614732887726,0.07565926401882202,0.16298688331005523
건설,0.005297536848732409,0.24696282862332425,0.24166529177459184,0.053239562229929295,0.18842572954466255
기계 및 장비,0.037345503739572385,0.24010827645001637,0.202762772710444,0.06701086968245226,0.13575190302799173
운송장비,0.007006645108164778,0.23547307762900493,0.22846643252084015,0.08167301882765199,0.14679341369318816
섬유 및 가죽제품,0.06449202657018416,0.22280440804252474,0.15831238147234059,0.06790322936163432,0.09040915211070627
전기장비,0.0007173798722812257,0.19830926136101285,0.1975918814887316,0.06340363756597117,0.13418824392276044
음식점 및 숙박서비스,0.010070202995676234,0.17770083343242035,0.16763063043674412,0.05013184679981766,0.11749878363692645
"컴퓨터, 전자 및 광학기기",0.011973231660233199,0.1565681849228828,0.1445949532626496,0.08879829626515344,0.055796656997496155
제조임가공 및 산업용 장비 수리,0.017030359356060433,0.13382217113174077,0.11679181177568035,0.044246852000642434,0.07254495977503791
기타 서비스,0.005172417845263008,0.1307871290594049,0.1256147112141419,0.048924593218159035,0.07669011799598285
보건 및 사회복지 서비스,0.008228050855853193,0.11502026545272971,0.10679221459687652,0.03838256364451298,0.06840965095236354
도소매 및 상품중개서비스,0.0036145916759950263,0.11479223374564342,0.11117764206964839,0.037675480005030564,0.07350216206461782
"전문, 과학 및 기술 서비스",0.005321202494875206,0.1145702526225379,0.10924905012766269,0.058579214993764166,0.05066983513389852
교육서비스,0.014186484512484056,0.10971758708012617,0.09553110256764212,0.05608964989796115,0.03944145266968097
"예술, 스포츠 및 여가 관련 서비스",0.005770605319378155,0.09843727383274944,0.09266666851337128,0.0452703959476152,0.047396272565756084
"공공행정, 국방 및 사회보장",0.029699788181146682,0.08504131246283834,0.05534152428169166,0.020489081668779753,0.034852442612911906
사업지원서비스,0.0010918470341367225,0.07367880882683907,0.07258696179270234,0.02439994601283541,0.048187015779866935
부동산서비스,0.0008689825160953828,0.05710186775397807,0.05623288523788268,0.025064289370624913,0.03116859586725777
정보통신 및 방송 서비스,0.00046470390007868125,0.05606881270719151,0.05560410880711283,0.026844817054847758,0.02875929175226507
금융 및 보험 서비스,0.0005717686494148096,0.03407868911635697,0.03350692046694216,0.01794495344069085,0.01556196702625131
