산업명,직접배출계수(B),공급망유발계수(B*L),간접유발량(BL-B),Scope2,Scope3
"전력, 가스 및 증기",2.2756821906439306,2.8049339806710436,0.529251790027113,0.4829590134628674,0.046292776564245575
비금속광물제품,0.8827699006338497,1.4059676992205934,0.5231977985867436,0.1848754914462222,0.33832230714052147
1차 금속제품,0.7573506411093279,1.277645042269619,0.5202944011602911,0.2490915635457602,0.2712028376145309
"수도, 폐기물처리 및 재활용서비스",0.46671581574089616,0.6818386350267504,0.2151228192858542,0.07666588144364764,0.13845693784220656
운송서비스,0.5144490481499344,0.6651799451703042,0.1507308970203698,0.05761193977266721,0.09311895724770258
광산품,0.2742198033155045,0.6428605234194996,0.3686407201039951,0.1814361656386159,0.18720455446537923
석탄 및 석유제품,0.4347969020951587,0.6232647928384495,0.1884678907432908,0.12216504781158358,0.06630284293170721
농림수산품,0.3979675477482937,0.6077159530047689,0.2097484052564752,0.08742740913430287,0.12232099612217233
화학제품,0.28798825577783355,0.5899700227172445,0.301981766939411,0.13220928959024858,0.1697724773491624
기타 제조업 제품,0.15061132016397313,0.4090528451636046,0.25844152499963147,0.07441397104706038,0.1840275539525711
금속가공제품,0.003704584147586757,0.4083362552276614,0.4046316710800747,0.11578120796794154,0.28885046311213314
"목재 및 종이, 인쇄",0.06291649143717944,0.3706738483743291,0.3077573569371497,0.1675403941915564,0.14021696274559328
음식료품,0.013582342266349974,0.3038069065743561,0.29022456430800614,0.0915545127493468,0.19867005155865936
건설,0.006039217744082384,0.28695202728843383,0.28091280954435144,0.06184565271551983,0.2190671568288316
기계 및 장비,0.04148715671922375,0.2723397335304319,0.23085257681120813,0.07546055754718804,0.15539201926402008
운송장비,0.007672908435923529,0.2675051323106083,0.25983222387468474,0.09182913877780849,0.16800308509687625
섬유 및 가죽제품,0.07451681515377817,0.2627366174620526,0.18821980230827445,0.07956884818211701,0.10865095412615744
전기장비,0.0008602640510108061,0.24321534186276023,0.24235507781174942,0.07689086075729788,0.16546421705445152
음식점 및 숙박서비스,0.011855471780486964,0.2126476894261152,0.20079221764562824,0.059670077227103636,0.1411221404185246
제조임가공 및 산업용 장비 수리,0.020890400717414877,0.16815352804809988,0.147263127330685,0.05507892152209052,0.09218420580859449
기타 서비스,0.00589523210309216,0.15402040165917338,0.14812516955608124,0.05685217763485449,0.09127299192122675
"컴퓨터, 전자 및 광학기기",0.010671905471997997,0.14018003396718454,0.12950812849518653,0.07876491269496257,0.050743215800223965
도소매 및 상품중개서비스,0.00407756730752523,0.13320990859861237,0.12913234129108714,0.043129836946195994,0.08600250434489115
"전문, 과학 및 기술 서비스",0.005841366796184849,0.12835634477151006,0.1225149779753252,0.06475782005352072,0.05775715792180448
보건 및 사회복지 서비스,0.008560255805286273,0.12355950800870658,0.1149992522034203,0.040736540648598454,0.07426271155482185
교육서비스,0.015191074352700363,0.11913829732274467,0.1039472229700443,0.06037725985817282,0.04356996311187148
"예술, 스포츠 및 여가 관련 서비스",0.006374337214822714,0.11064167654670895,0.10426733933188624,0.05038433519557697,0.053883004136309275
"공공행정, 국방 및 사회보장",0.03275838549964828,0.09573888754413562,0.06298050204448734,0.023004215402761884,0.03997628664172545
사업지원서비스,0.0011992498883427725,0.08338371766798937,0.0821844677796466,0.02727879708042778,0.05490567069921881
부동산서비스,0.0008954143152876199,0.059836575723292075,0.058941161408004455,0.026033014118773214,0.03290814728923124
정보통신 및 방송 서비스,0.00048555776401739277,0.059721519611864345,0.05923596184784695,0.028201840030895903,0.031034121816951046
금융 및 보험 서비스,0.0005694835284549761,0.03464351633490607,0.03407403280645109,0.018036733545644477,0.016037299260806614
