산업명,직접배출계수(B),공급망유발계수(B*L),간접유발량(BL-B),Scope2,Scope3
"전력, 가스 및 증기",2.724332524115581,3.1780305541638465,0.45369803004826537,0.40267071689829015,0.05102731314997522
비금속광물제품,1.0185985864627125,1.6018871575388494,0.5832885710761369,0.20288225324965986,0.380406317826477
1차 금속제품,0.745122896043475,1.2831006856265372,0.5379777895830622,0.22880891547254906,0.30916887411051314
"수도, 폐기물처리 및 재활용서비스",0.7507484097658396,1.0218776494727833,0.2711292397069437,0.15659301711698734,0.11453622258995635
운송서비스,0.592239940989199,0.7865938314244663,0.1943538904352673,0.07055688643421751,0.12379700400104979
화학제품,0.24319623010952796,0.5399767416394325,0.2967805115299046,0.13000497862858676,0.16677553290131783
농림수산품,0.3510869596756897,0.5062685000890691,0.1551815404133794,0.060185671804409965,0.09499586860896943
석탄 및 석유제품,0.353630643763343,0.4880825434907127,0.13445189972736965,0.0863346339753637,0.04811726575200595
광산품,0.18986651574899158,0.4378611763369141,0.24799466058792255,0.10214353386303557,0.14585112672488698
금속가공제품,0.011033807856592023,0.43517692215546766,0.42414311429887563,0.13509086268278522,0.2890522516160904
기타 제조업 제품,0.1278170244732758,0.4244432808280125,0.2966262563547367,0.10096912060069449,0.19565713575404223
기계 및 장비,0.022447819666972776,0.3399715087246252,0.31752368905765244,0.10058093791979032,0.2169427511378621
건설,0.010052894259027804,0.33818910343898984,0.32813620917996206,0.08008485810626699,0.24805135107369508
운송장비,0.00838917733775522,0.3247212037614595,0.3163320264237043,0.09647586489714528,0.219856161526559
음식료품,0.013733260093676269,0.3109928779352609,0.29725961784158467,0.0798356820718768,0.21742393576970787
"목재 및 종이, 인쇄",0.022608248576458663,0.31088551110094464,0.288277262524486,0.1597999059947687,0.12847735652971728
전기장비,0.006068365215400479,0.3036961346055477,0.2976277693901472,0.09102752240881386,0.20660024698133334
"컴퓨터, 전자 및 광학기기",0.03674368083940786,0.25746707199203606,0.22072339115262818,0.09419072166098372,0.12653266949164446
섬유 및 가죽제품,0.057685597249379675,0.25189426817037924,0.19420867092099958,0.08583125418389331,0.10837741673710627
음식점 및 숙박서비스,0.015015209452798616,0.24302734267990703,0.22801213322710842,0.08604870865063512,0.14196342457647332
제조임가공 및 산업용 장비 수리,0.016205192591825436,0.2274151415380494,0.21120994894622397,0.09116267831140541,0.12004727063481856
보건 및 사회복지 서비스,0.01777551724833592,0.20638334327756677,0.18860782602923085,0.0930864943453911,0.09552133168383975
"전문, 과학 및 기술 서비스",0.009758135624959537,0.20426213130216012,0.1945039956772006,0.12784928965234746,0.06665470602485313
기타 서비스,0.012269530976370796,0.20269380450590835,0.19042427352953756,0.08429493209387698,0.10612934143566058
"예술, 스포츠 및 여가 관련 서비스",0.011375759822696086,0.19835900348798347,0.18698324366528737,0.1113988609658832,0.07558438269940418
도소매 및 상품중개서비스,0.007805055834365519,0.17775323829986941,0.1699481824655039,0.07788492888221851,0.09206325358328538
교육서비스,0.01993639132991131,0.17600724560730288,0.15607085427739156,0.10939339645365123,0.04667745782374033
정보통신 및 방송 서비스,0.0014164922457357851,0.11424250839950413,0.11282601615376835,0.06232038892837811,0.05050562722539024
"공공행정, 국방 및 사회보장",0.05039911335686894,0.11399065334376422,0.06359153998689529,0.03197471346193087,0.03161682652496442
사업지원서비스,0.003192652965688377,0.09091157424058473,0.08771892127489635,0.03714440995180789,0.050574511323088454
금융 및 보험 서비스,0.0012905348719910417,0.0828459852901321,0.08155545041814105,0.0484482170241453,0.03310723339399575
부동산서비스,0.0019435998306852604,0.07120880477887855,0.06926520494819328,0.039707984705237745,0.02955722024295554
