산업명,직접배출계수(B),공급망유발계수(B*L),간접유발량(BL-B),Scope2,Scope3
"전력, 가스 및 증기",1.698991816956409,2.130591951862887,0.431600134906478,0.40043830543368353,0.031161829472794444
비금속광물제품,0.7906277364054035,1.2188797236847666,0.4282519872793631,0.1618649738028421,0.266387013476521
1차 금속제품,0.48479757449803457,0.8237852179596475,0.338987643461613,0.17284051299712277,0.1661471304644902
"수도, 폐기물처리 및 재활용서비스",0.43117773533249776,0.6221506313712974,0.1909728960387997,0.06874643433326072,0.12222646170553897
운송서비스,0.4410426080804261,0.5759169802407962,0.13487437216037007,0.054429636935126945,0.08044473522524312
농림수산품,0.3655931133799934,0.5444866942498505,0.17889358086985713,0.07460010205629489,0.10429347881356224
광산품,0.2367882810084694,0.529272021149127,0.2924837401406576,0.14248985486946802,0.14999388527118956
화학제품,0.2154841834449465,0.441237903389795,0.22575371994484852,0.10364008432202798,0.12211363562282054
기타 제조업 제품,0.11188118855735443,0.30613454589396716,0.19425335733661273,0.05934724558534391,0.13490611175126882
금속가공제품,0.002757095840325739,0.2975835548120158,0.2948264589716901,0.08768217528706966,0.2071442836846204
"목재 및 종이, 인쇄",0.04767585260861608,0.2864282143328642,0.23875236172424813,0.1295792020392092,0.10917315968503893
음식료품,0.0123233171008443,0.2569262308730949,0.2446029137722506,0.07754134510442254,0.16706156866782806
운송장비,0.007494564097744327,0.2558153285850921,0.24832076448734777,0.08858375294877949,0.15973701153856829
석탄 및 석유제품,0.1632536244429275,0.25358621972477646,0.09033259528184898,0.06047639595391443,0.029856199327934548
건설,0.005945560951679228,0.24816755168271046,0.24222199073103123,0.05442690777016271,0.18779508296086853
기계 및 장비,0.03233468130406978,0.23217529695575628,0.1998406156516865,0.06573667884666202,0.13410393680502447
섬유 및 가죽제품,0.05607038103902318,0.22288003095057402,0.16680964991155084,0.07285205118862494,0.0939575987229259
전기장비,0.0007647985340369941,0.20560732283456162,0.20484252430052463,0.06484517018882073,0.1399973541117039
음식점 및 숙박서비스,0.010960011976204515,0.1824183914662542,0.17145837949004966,0.05372068952267838,0.11773768996737127
"컴퓨터, 전자 및 광학기기",0.01922439120999723,0.15262769519215333,0.1334033039821561,0.08116992254721349,0.05223338143494262
기타 서비스,0.005946650366832849,0.13857952793001763,0.1326328775631848,0.0528335757087553,0.07979930185442949
제조임가공 및 산업용 장비 수리,0.017383845122010088,0.13510153110918197,0.11771768598717187,0.04433023229181122,0.07338745369536065
보건 및 사회복지 서비스,0.00849244564761914,0.11547096714953148,0.10697852150191234,0.04180697500983443,0.0651715464920779
교육서비스,0.015068861043698735,0.1127572658637436,0.09768840482004487,0.05983632253427401,0.03785208228577086
도소매 및 상품중개서비스,0.003853668094299153,0.11178842972965423,0.10793476163535508,0.03783271554361155,0.07010204609174353
"예술, 스포츠 및 여가 관련 서비스",0.006266230637234466,0.11061192787409699,0.10434569723686252,0.05151406516297195,0.052831632073890564
"전문, 과학 및 기술 서비스",0.005606340880394742,0.10913952340286381,0.10353318252246907,0.055729742618252295,0.047803439904216774
"공공행정, 국방 및 사회보장",0.02993749712925808,0.09146470342676191,0.06152720629750383,0.022648111796302293,0.038879094501201535
사업지원서비스,0.0011497418298064505,0.07406914177527929,0.07291939994547283,0.024264827400788898,0.04865457254468394
정보통신 및 방송 서비스,0.0004923152084482182,0.056782427578305934,0.05629011236985772,0.026927074778865738,0.02936303759099198
부동산서비스,0.0009102861979007001,0.053220341333676466,0.05231005513577577,0.023956460362833186,0.02835359477294258
금융 및 보험 서비스,0.0005851833639255518,0.03473053654129197,0.034145353177366417,0.01832196991499109,0.015823383262375326
