산업명,직접배출계수(B),공급망유발계수(B*L),간접유발량(BL-B),Scope2,Scope3
"전력, 가스 및 증기",2.336332927873619,2.8038374560952444,0.46750452822162547,0.43069228850317787,0.036812239718447604
비금속광물제품,0.8936862681775376,1.3885152362499729,0.49482896807243526,0.18864333034483646,0.30618563772759877
1차 금속제품,0.5873890008966218,0.9987538932929375,0.4113648923963157,0.1917702301819926,0.21959466221432308
운송서비스,0.5059233028605008,0.6775587370369559,0.1716354341764551,0.06725324155288538,0.10438219262356972
"수도, 폐기물처리 및 재활용서비스",0.4566569223171811,0.6756358164617727,0.21897889414459165,0.08114841042421334,0.13783048372037832
광산품,0.23798146762281877,0.5871917717023012,0.3492103040794824,0.17595174160700658,0.1732585624724758
농림수산품,0.3638634323454001,0.5583272508602636,0.1944638185148635,0.07871386791249155,0.11574995060237195
화학제품,0.25389808914708345,0.5290473694301469,0.2751492802830634,0.1277965930722208,0.1473526872108426
기타 제조업 제품,0.1495050536035962,0.38483186746617865,0.23532681386258245,0.07513897671978127,0.16018783714280116
금속가공제품,0.003540319362432547,0.3766394105197391,0.37309909115730655,0.12185807677521714,0.2512410143820894
석탄 및 석유제품,0.25311390765777475,0.3753423694479193,0.12222846179014457,0.08276492576573849,0.03946353602440608
"목재 및 종이, 인쇄",0.04639892041040989,0.3344742460206449,0.288075325610235,0.1607259994549279,0.1273493261553071
운송장비,0.00904176730227869,0.2953090675802464,0.2862673002779677,0.09627470410189833,0.1899925961760694
음식료품,0.013371490326494598,0.2946251648398527,0.2812536745133581,0.08829900578494856,0.19295466872840952
건설,0.006781221812668457,0.28596797377345334,0.2791867519607849,0.06369354833064172,0.21549320363014318
기계 및 장비,0.03436781557383281,0.27673196364861113,0.24236414807477832,0.08065460047515716,0.16170954759962117
섬유 및 가죽제품,0.06218241338086046,0.268612954788737,0.20643054140787653,0.0930303455573514,0.11340019585052513
전기장비,0.001041826078223576,0.25692329898175376,0.2558814729035302,0.08381631434574136,0.17206515855778884
음식점 및 숙박서비스,0.012623504863548548,0.2093528550942933,0.19672935023074475,0.06065012213575241,0.13607922809499234
"컴퓨터, 전자 및 광학기기",0.025304457711220918,0.18020020412210483,0.1548957464108839,0.08762465375084916,0.06727109266003475
제조임가공 및 산업용 장비 수리,0.021570496117679548,0.15994386884261474,0.1383733727249352,0.052398458000580385,0.08597491472435481
기타 서비스,0.005990113797284602,0.15956022165942219,0.1535701078621376,0.06033906337156136,0.09323104449057623
보건 및 사회복지 서비스,0.008784240926999445,0.1304768567125502,0.12169261578555074,0.044831153514017036,0.0768614622715337
도소매 및 상품중개서비스,0.004507166073896998,0.12936713601467692,0.12485996994077993,0.044920252335063166,0.07993971760571676
"예술, 스포츠 및 여가 관련 서비스",0.007458538600517126,0.12633826081326907,0.11887972221275195,0.06145207256521043,0.05742764964754152
"전문, 과학 및 기술 서비스",0.0058140720702619785,0.12448937920138546,0.11867530713112348,0.0645499128819761,0.05412539424914738
교육서비스,0.015600440694515645,0.12151685417353772,0.10591641347902207,0.06343635836736258,0.04248005511165949
"공공행정, 국방 및 사회보장",0.031939292116994394,0.10181501047067201,0.06987571835367762,0.025800840855068508,0.04407487749860911
사업지원서비스,0.0011172000790292751,0.08393529194527602,0.08281809186624674,0.02786756095965963,0.05495053090658711
정보통신 및 방송 서비스,0.0004793690188119989,0.06328890095382228,0.06280953193501028,0.030713675584948582,0.032095856350061694
부동산서비스,0.0008902063114375799,0.05152689483798427,0.05063668852654669,0.024985202573118013,0.025651485953428674
금융 및 보험 서비스,0.0005990298551583006,0.04001718672269393,0.03941815686753563,0.021368807828064888,0.018049349039470742
